title,price,location,url
"Featured ₹ 6,000 Car seat cover Laal Ganesh, Guwahati 10 Aug","₹ 6,000","Laal Ganesh, Guwahati",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-laal-ganesh-guwahati-iid-1816380938
"Featured ₹ 47,00,000 2 BHK - 2 Bathroom - 980 sqft 2bhk flat for Sale with covered car parking Pisoli, Pune 8 Aug","₹ 47,00,000","Pisoli, Pune",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-980-sq-ft-in-pisoli-pune-iid-1816157623
"Featured ₹ 500 Car body cover available in wholesale market price Periyamet, Chennai 15 Aug",₹ 500,"Periyamet, Chennai",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-periyamet-chennai-iid-1813208782
"₹ 1,25,00,000 3 BHK - 2 Bathroom - 1470 sqft Fully furnished 3 bhk with lift and covered car parking for dispoal Raja S C Mullick Road, Kolkata Today","₹ 1,25,00,000","Raja S C Mullick Road, Kolkata",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-builder-floors-1470-sq-ft-in-raja-s-c-mullick-road-kolkata-iid-1818066760
"₹ 24,000 IT, Media office, covered car n bike parking, Kakkanad Kochi Chembumukku, Kochi Today","₹ 24,000","Chembumukku, Kochi",https://www.olx.in/item/for-rent-shops-offices-c1731-951-sq-ft-in-chembumukku-kochi-iid-1817413699
"₹ 13,500 2 BHK - 2 Bathroom - 1200 sqft 1.5 KM-KINFRA, 5 KM-Techno Park, CC TV, Covered Parking for Cars&Bikes Chanthavila, Thiruvananthapuram Today","₹ 13,500","Chanthavila, Thiruvananthapuram",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1200-sq-ft-in-chanthavila-thiruvananthapuram-iid-1816396942
"₹ 2,000 Car seat cover Ambarnath, Ulhasnagar Today","₹ 2,000","Ambarnath, Ulhasnagar",https://www.olx.in/item/sofa-dining-c1593-car-seat-cover-in-ambarnath-ulhasnagar-iid-1809663184
"₹ 250 Car Key cover premium BMW type of Hyundai compatible undergiven cars Corporative Colony, Bokaro Steel City Today",₹ 250,"Corporative Colony, Bokaro Steel City",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-corporative-colony-bokaro-steel-city-iid-1818251115
"₹ 1,500 Seltos car cover original Pallod Farms, Pune Today","₹ 1,500","Pallod Farms, Pune",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-pallod-farms-pune-iid-1818248499
"₹ 3,20,000 2013 - 93,000 km All new car with new seat cover all ok Ambas S Tower, Gurdaspur Today","₹ 3,20,000","Ambas S Tower, Gurdaspur",https://www.olx.in/item/cars-c84-used-maruti-suzuki-swift-in-ambas-s-tower-gurdaspur-iid-1818248444
"₹ 3,500 Xuv700 car cover Kaziguda, Hyderabad Today","₹ 3,500","Kaziguda, Hyderabad",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kaziguda-hyderabad-iid-1818243289
"₹ 1,90,00,000 3 BHK - 2 Bathroom - 1350 sqft 3bhk MICL (1.85 All inclusive) With 1 Alloted covered car park Dahisar East, Mumbai Today","₹ 1,90,00,000","Dahisar East, Mumbai",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1350-sq-ft-in-dahisar-east-mumbai-iid-1763316022
"₹ 24,000 Back end IT,Media office, covered car, Bike parking,kakkanad,EKM,Kochi Vazhakkala, Kochi Today","₹ 24,000","Vazhakkala, Kochi",https://www.olx.in/item/for-rent-shops-offices-c1731-951-sq-ft-in-vazhakkala-kochi-iid-1818021789
"₹ 25,000 IT back end office, kakkanad, covered car n bike parking,lift, D G Padivattom, Kochi Today","₹ 25,000","Padivattom, Kochi",https://www.olx.in/item/for-rent-shops-offices-c1731-901-sq-ft-in-padivattom-kochi-iid-1801141258
"₹ 1,60,000 2010 - 165,000 km car bilkul new jaisi 4tyre seat cover new paper 05/2031 tak tiptop car Naiganj, Jaunpur Today","₹ 1,60,000","Naiganj, Jaunpur",https://www.olx.in/item/cars-c84-used-maruti-suzuki-ritz-in-naiganj-jaunpur-iid-1817148538
"₹ 24,000 Back end IT office, covered car,Bike parking kakkanad Kochi,Ernakulam Padivattom, Kochi Today","₹ 24,000","Padivattom, Kochi",https://www.olx.in/item/for-rent-shops-offices-c1731-900-sq-ft-in-padivattom-kochi-iid-1818221632
"₹ 48,99,999 2 BHK - 2 Bathroom - 897 sqft 2 bhk flat with covered car parking in Gated Society Rajarhat Chowmatha, Kolkata Yesterday","₹ 48,99,999","Rajarhat Chowmatha, Kolkata",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-897-sq-ft-in-rajarhat-chowmatha-kolkata-iid-1818215736
"₹ 2,999 All cars side mirror batman cover abs plastic piano black Ashok Nagar, Vijayawada Yesterday","₹ 2,999","Ashok Nagar, Vijayawada",https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-batman-cover-abs-plastic-piano-black-in-ashok-nagar-vijayawada-iid-1812853041
"₹ 2,500 All cars side mirror cover batman style abs Chembur, Mumbai Yesterday","₹ 2,500","Chembur, Mumbai",https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-cover-batman-style-abs-in-chembur-mumbai-iid-1812311995
"₹ 1,999 All cars side mirror covers abs Alappuzha Cantt, Alappuzha Yesterday","₹ 1,999","Alappuzha Cantt, Alappuzha",https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-covers-abs-in-alappuzha-cantt-alappuzha-iid-1818212056
"Featured ₹ 7,500 1 BHK - 1 Bathroom - 750 sqft One BHK semi furnished flat with covered car parking IDPL Colony, Rishikesh 1 Aug","₹ 7,500","IDPL Colony, Rishikesh",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-750-sq-ft-in-idpl-colony-rishikesh-iid-1815486549
"Featured ₹ 1,200 Autofy 100% waterproof Altroz car cover Basavanapura Nr Krishnarajapura, Bengaluru 2 days ago","₹ 1,200","Basavanapura Nr Krishnarajapura, Bengaluru",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-basavanapura-nr-krishnarajapura-bengaluru-iid-1791569478
"₹ 60,000 2002 - 80,000 km Jen 2002 model new tier new music system new set cover all orisnel car Bhun, Gurdaspur Yesterday","₹ 60,000","Bhun, Gurdaspur",https://www.olx.in/item/cars-c84-used-maruti-suzuki-1000-in-bhun-gurdaspur-iid-1818211301
"₹ 3,500 COVERED CAR PARKING WITH CCTV PROTECTION FOR RENT IN ROYAPETTAH Royapettah, Chennai Yesterday","₹ 3,500","Royapettah, Chennai",https://www.olx.in/item/for-rent-houses-apartments-c1723-apartments-700-sq-ft-in-royapettah-chennai-iid-1817735767
